Company ID,Company Name,Total Jobs,Total CVs,Total Revenue
10173643,Magic Aire,0,0,0
10326548,P1 Group,0,0,0
10358768,Meva Formwork Systems Inc.,0,0,0
9771007,ALTA Performance Materials,0,0,0
3843749,Lockheed Architectural Solutions,0,0,0
10359640,Alsina Formwork,1,0,0
3848857,ASM Infrastructure Systems Inc.,0,0,0
3845343,Grenzebach Group,1,0,0
10315966,INEOS Composites Poland,0,0,0
3843936,"KSC, Inc.",0,0,0
3844266,Simpson Strong-Tie,0,0,0
3846122,SOPREMA USA,3,0,0
10003088,Aggreko,4,0,0
5067550,Bemo USA Corporation,5,0,30600
10312984,RDC Coatings,0,0,0
10311492,RijnDijk Staalconstructies B.V.,0,0,0
10310951,Ineos Composites,0,0,0
3862247,INEOS,1,0,0
4658017,Skyway Canada,11,2,0
10310950,INEOS Composites,0,0,0
10313057,QUIMACOVA - Asociación de Empresas Químicas de la Comunidad Valenciana,0,0,0
5450020,Lightspan,0,0,0
3844088,"Western Building Group, LLC",2,3,52580
3842638,Eirefacade Systems UK Limited,143,0,641320.57
3843538,VIVA Railings LLC,67,0,534602
3843220,Trü Architectural,40,4,31250
3845059,Reimar Forming & Construction,15,0,95000
10310961,DS Stålkonstruktion A/S,0,0,0
10248274,New Energy Service Inc,0,0,0
10248273,Randall Electrical Contractors,0,0,0
3846130,AE Concrete,1,0,0
10225130,"ClarkDietrich Building Systems, ClarkWestern Building Systems, and Dale Incor",0,0,0
10310088,Unger Stahlbau Ges.m.b.H.,0,0,0
10309746,VIROSPACK - The Dropper Company,0,0,0
3848238,Subzero Engineering,0,0,0
3845126,Senneca Holdings,1,1,0
3846462,LafargeHolcim,5,0,0
3842494,BV Glazing,40,0,15312.93
4693275,Central States Industrial (CSI),0,0,0
3843475,Siber Facade Group,0,0,0
3939108,Worthington Industries,8,0,52622.64
5217794,STRUCTURAL TECHNOLOGIES,6,0,0
3844987,Shamrock Roofing & Construction,1,0,0
3844876,Allen Roofing & Siding,1,0,0
3971627,Ashland,2,0,0
3844868,Highland Commercial Roofing,4,0,0
3844180,Ferguson Corporation,1,0,0
3907402,Southern Wall Systems,4,2,7912.57
3846712,KENPAT,47,0,51000
3846163,Tarrant Roofing,1,0,0
3844341,"Kingspan Insulated Panels, Inc",30,0,222020
10307471,Nordec Group,0,0,0
3846656,Exyte,10,0,0
10169287,System Performance Technologies LLC,0,0,0
3844664,Elite Roofing Supply,1,0,0
7203678,RepliKKa,0,0,0
7203680,"Jansen America, Inc.",0,0,0
3867941,Tremco Construction Products Group,0,0,0
4897139,"Layher, Inc.",0,0,0
4702147,Sprow Corp.,3,0,96000
10104961,DECAST,3,0,0
3844536,Signature Building Systems,0,0,0
3904545,STULZ USA,2,2,30000
10080656,"Knauf Middle East, Africa & South Asia",0,0,0
10083824,Knauf Northern Europe,0,0,0
10080281,Executive Coaching & Supply Chain Consulting,0,0,0
3848715,Simplex Homes,0,0,0
3844606,Global Roofing Group,7,4,30600
10079313,The Creativity Paradox,0,0,0
10079314,Moroccan Youth Council for Diplomatic and International Cooperation,0,0,0
5661895,Bechtel Corporation,13,0,0
10072593,Apache Industrial Services Inc.,0,0,0
3846508,Adler Windows,15,0,250
3844305,Volumetric Building Companies,58,0,426752
10072416,HydroChemPSC,0,0,0
10072631,"American Law Enforcement Network, Inc.",0,0,0
10072294,Turner Industries Group,0,0,0
10071631,"Turner Industries Group, LLC; Turner Specialty Services, LLC",0,0,0
10071467,JVIC Fabrication LLC,0,0,0
9577622,Knauf Ceiling Solutions,1,0,0
10071465,"JV Industrial Companies, LLC",0,0,0
10071430,JV Industrial Companies,0,0,0
3848504,Apache Industrial,0,0,0
10071123,Liberty Resources LLC,0,0,0
10071122,"Oaktree Capital Management, L.P.",0,0,0
10071120,University of Louisiana at Lafayette,0,0,0
10071047,Allport Services,0,0,0
10071045,Danos Advisory Group,0,0,0
10071044,Precision Global Alert_AC&C,0,0,0
10071043,Louisiana Capital Group,0,0,0
3848511,Turner Industries,0,0,0
3843348,Maxxon Corporation,0,0,0
10087389,BOXX MODULAR HOLDINGS INC.,0,0,0
10071042,JHA Safety,0,0,0
10035122,NanaWall Systems,1,0,0
3845846,Kingspan Insulation LLC,4,0,0
3844223,MillerClapperton,8,0,0
9580594,BVGlazing Systems,71,4,67500
3848510,JVIC,0,0,0
3845070,Agway Metals,0,0,0
10071682,"Turner Industries Group, LLC",0,0,0
10071124,Sky High for Kids,0,0,0
10004321,RITTAL FR,0,0,0
3844794,Maple Façades,1,0,0
10002897,NS Nordics AS,0,0,0
3842922,Kawneer (Arconic - North America),73,2,480341.6
3846990,Doman Building Materials Group Ltd.,0,0,0
10071046,Air-Nu,0,0,0
3936393,Apache Industrial Services,3,0,0
3846689,Collen Construction,0,0,0
3843077,Aliva UK,22,1,5000
10004407,Generac,0,0,0
9986878,NCC,3,0,0
5242826,Ruukki,0,0,0
3844881,Alumico Architectural Inc,1,0,6312.93
9825067,Masterscaf Company,0,0,0
3846709,CBRE Canada,0,0,0
9643699,Castle Group,0,0,0
3843530,Kidd Roofing,1,0,0
9781761,PEMCO International,0,0,0
3843341,Knauf Insulation,5,0,0
3845409,Greenlite Glass Systems,2,0,0
3927594,AMETEK,3,2,0
3843627,METRA,0,0,0
3848509,Danos,0,0,0
3846817,Cold Clad Ltd,1,0,0
3842969,NR Group,32,2,0
9773112,SportGroup,0,0,0
9771803,Speira,0,0,0
3845107,Covertite Eastern Ltd,8,0,29407.95
3847425,Gardner Metal Systems Inc,0,0,0
3848735,CRL,2,2,33120
3845971,Mid-Atlantic Roofing Supply,1,0,0
9835582,MTE Consultants,1,0,0
3846433,Knauf,9,2,4000
5667037,Doyle Construction Company,1,0,0
3847321,Surplus Steel & Supply Inc & Iron Age Architectural Metals LLC.,0,0,0
9739038,Adjustable Concrete Construction,0,0,0
3843300,MODLOGIQ Inc.,1,0,0
5676569,Tate,8,0,91409.8
3844751,ACOUSTI,1,0,0
9740058,Blakeslee Prestress Inc,0,0,0
3846020,Kingspan Insulated Panels - Florida,0,0,0
9739775,PRETECSA,0,0,0
3844713,American Modular Systems,3,0,0
3846449,Al Ghurair,5,0,0
3921993,Kingspan Insulation,28,0,11687.4
9656094,"Marguerite Concrete, Inc",0,0,0
4841541,Valto Engineered Materials,0,0,0
3848125,The Escobedo Group,0,0,0
9641993,Eagle Builders LP,0,0,0
9654189,Mid-States Concrete Industries,0,0,0
8772246,Industrial Electric Mfg. (IEM),0,0,0
9681673,"Atlas Construction Supply, Inc.",0,0,0
9640117,County Prestress & Precast LLC,0,0,0
9640108,Suncoast Post-Tension Ltd.,0,0,0
9640106,S&F Concrete Contractors Corp,0,0,0
9640099,Miller Sierra Contractors Inc.,0,0,0
8093944,Turner & Townsend,9,0,0
9640095,McHugh Concrete Construction Inc.,0,0,0
3937330,Lindsay Construction,0,0,0
9640093,Concrete Frame Associates LLC,0,0,0
3847249,The Berg Group,1,0,0
9640092,Atlas Construction Supply Inc.,0,0,0
9640096,Mid-States Concrete Industries,0,0,0
9639839,Brock Canada,3,0,0
9640091,Adjustable Concrete Construction,0,0,0
3844471,Lear Corporation,21,2,0
3846797,Fero International Inc.,8,0,51720.29
3845404,DeSimone Consulting Engineers,2,0,0
9569075,High Companies,0,0,0
9831801,Hoffman Construction Company,1,0,0
9552746,CK II Contracting Inc.,0,0,0
3845786,Facet Filtration,24,0,163800
9550655,Filtration Group,0,0,0
9552632,Jaye's Glass And Mirror LLC,0,0,0
3842728,Fabbrica,14,5,0
3844112,ABC Supply Co. Inc.,4,0,0
7970783,Unifor,2,4,0
9647666,Pankow Builders,0,0,0
3845863,Gensler,4,0,0
9494939,Eco Window Systems,0,0,0
9486671,Mannlee,0,0,0
9543161,Home Genius Exteriors,0,0,0
3844810,Viracon,4,0,0
9617465,Wells,0,0,0
9482066,NSG Pilkington,1,0,0
3847990,United Structural Works,0,0,0
9481678,AM Roofing Solutions,0,0,0
9640209,Eagle Builders LP,0,0,0
3842467,Island Exterior Fabricators,37,0,70014
9640094,Marguerite Concrete Inc,0,0,0
3846347,Cabinetworks Group,0,0,0
9449361,Stelumar,0,0,0
3848551,D.L. Engineering Inc.,0,0,0
3846351,Jensen Precast,1,2,0
9486099,SageGlass,4,0,0
3846468,Vulcan Materials Company,3,0,0
9481801,Frameless Hardware Company,0,0,0
3848377,NAPCO Precast,1,0,0
9347928,CONCEPTS IN MILLWORK,0,0,0
3843974,Cornerstone Building Brands Inc.,0,0,0
3843340,Aluminum Window Designs Ltd,17,2,35900
9398486,Woodgrain,0,0,0
9318151,Kalwall Corporation,0,0,0
3869037,Del Ray Glass,2,0,0
9309188,Linetec,0,0,0
9309012,EFCO,0,0,0
3844699,Western Specialty Contractors,2,3,25200
3845796,Ten Plus Architectural Products Ltd.,9,0,41000
7929387,HITEC Power Protection,1,0,0
9250485,AGC Glass Europe,2,0,0
3848676,CFS Designs US,1,0,0
3844640,IMETCO,14,0,23000
9392951,Metrie,10,0,0
7984499,CAP Building Systems Inc,1,0,0
3844722,Fritz-Alder Precast,17,0,47250
9348701,"Stevens Industries, Inc.",0,0,0
9169415,Tubelite,0,0,0
3862774,Bunting Architectural Metals,2,1,0
3842461,Lignum TEST,2,0,0
3844165,Carlisle Construction Material,0,0,0
9077939,Baker Construction,1,0,0
3843258,C3 Specialty Glazing Solutions,18,0,21600
3844759,Mapei,5,0,0
3894909,LiquidStack,5,0,0
9104721,Sch�co International KG,0,0,0
9104698,Gamma Murs Et Fen�tres International inc,0,0,0
9104684,Dynamic Glass LLC,1,0,0
4709163,Coreslab Structures (Ont) Inc.,0,0,0
9104722,Sunrise Erectors Inc.,0,0,0
3947356,Boyd Aluminum,0,0,0
3846935,KHS&S Contractors,10,4,24000
3861342,Crown Corr Inc.,1,0,0
4693219,TAS Energy,0,0,0
3849037,Waco Filters,0,0,0
4715727,Aurora Glazing Solutions Ltd.,4,1,0
3844513,Nucor Corporation,1,0,0
9092197,Rieder America,0,0,0
3844698,Duro-Last,0,0,0
3849051,Clear Edge Filtration,1,0,0
3842800,Kawneer - UK,91,0,495382
7718711,Mitsubishi Electric Trane US,1,0,0
9104681,Contract Glaziers Inc.,0,0,0
9077751,TRIUMPH GROUP OF COMPANIES,0,0,0
9094723,FINFROCK,9,0,0
3843319,Durabuilt Windows & Doors,1,0,0
3844574,National Gypsum Company,2,0,0
8251198,Aligned Data Centers,2,0,0
3846475,Filtration Group,24,0,27000
3843646,Oldcastle BuildingEnvelope,225,16,230075
3842883,Testeral,5,0,16000
7357388,"Western Partitions, Inc.",0,0,0
3843798,Sika USA,2,1,0
3846848,Modern Niagara,4,0,0
3843810,Pliteq,2,0,0
9064686,MEVA Formwork Systems - North America,0,0,0
3845563,Gamco Corporation,0,0,0
3904539,Trane Technologies,18,4,0
3845925,Novatech,2,0,0
3845847,LP Building Solutions,0,0,0
3843796,Layne Glass Company,1,0,0
9055057,"Engineered Floors, LLC",0,0,0
3843965,IKO North America,9,0,0
9065855,TITAN Formwork Systems,3,0,0
3860318,Elward,3,2,0
9055660,Somec Gruppo,0,0,0
5656426,Tri-Co,0,0,0
9053453,Hardrock Group,19,0,0
9008880,Americlad LLC,0,0,0
3843055,J W McDougall,41,0,191086.4
3844019,ArcelorMittal,8,0,0
3844983,RPI Roofing,0,0,0
7668740,Recticel Insulation,4,0,0
3846428,VPI Quality Windows,1,0,0
3844979,Radco Roofing,3,0,0
3847617,Advanced Exterior Systems,0,0,0
3847159,American Architectural Metals & Glass,0,0,0
3846621,Permasteelisa Gartner Middle East,17,0,45000
3848428,McElroy Metal,1,0,0
9018765,Standex Electronics,0,0,0
3843983,Impact Glass Services LLC,0,0,0
3844304,Red Mountain Roofing,0,0,0
3844113,Malarkey Roofing Products,0,0,0
3845703,Noram Glass,12,0,0
3847557,Kolbe Windows & Doors,1,0,0
3845163,FRENER & REIFER,13,0,73000
3845375,Alutec WLL,29,0,398494
9008952,IronShore Contracting,0,0,0
9008951,3A Composites Display And Graphic Arts Americas,0,0,0
3842996,Tower Holdings Group,7,0,0
8375485,Grupo ULMA,0,0,0
9008982,Metalw�rks,0,0,0
9008905,Valley Interior Systems,0,0,0
3845080,Specified,11,0,126530
9008921,Zarco Construction,0,0,0
9008899,IMARK Architectural Metals,0,0,0
3907359,Gen3,2,0,0
3845489,Anchor Fabrication LLC,0,0,0
3845710,MATCOR Metal Fabrication,7,0,0
7909935,MG McGrath - Architectural Surfaces + Architectural Glass & Glazing,0,0,0
5444128,Norsk Hydro,9,2,0
7466499,Keymark Corporation,4,2,0
9008898,Global Fabrication LLC,0,0,0
3843322,CANY,3,0,0
9005288,Knauf North America,0,0,0
9005081,PAROC,0,0,0
9005035,FAIST Anlagenbau GmbH,0,0,0
9008943,Coated Metals Group,0,0,0
3846393,Jonell Systems,13,0,92340
3844239,Alliance Exterior Construction,1,0,0
3844682,Intercom Facades,3,6,0
7368863,Laminators Inc.,0,0,0
4841524,D. C. Taylor Co.,1,2,0
3847714,Impact Storefront Designs,0,0,0
3846466,CRH,2,0,0
3844662,Architectural Fabrication,1,0,0
3848176,Progressive Roofing,4,6,0
3843986,Glass Systems Inc.,0,0,0
3843433,Kalwall Corporation,1,0,0
3843895,Northern Architectural Systems,2,2,0
3847709,Clifton Architectural Glass & Metal,0,0,0
3848024,Commodore Construction Corp.,2,0,0
3848976,Flow Dry Technology,4,0,27900
3843868,W&W Glass,3,0,0
8948758,Western Tile & Marble,0,0,0
3578005,Binswanger Glass,50,0,0
8445499,Starnet Commercial Flooring,0,0,0
8948689,RW Dake Construction,0,0,0
8948669,Renu Contracting Restoration,0,0,0
8948640,M. Frank Higgins & Co. Inc.,0,0,0
8948612,K hrs - Americas,0,0,0
8948609,JAY HENGES ENTERPRISES INC,0,0,0
8948546,Flooring Systems Inc.,0,0,0
3843560,Midway Glass & Metal Installers,0,0,0
8948488,ATG Construction Services,0,0,0
8948475,APEX Group A Diverzify Company,0,0,0
3936844,Flooring Solutions,3,0,0
7624158,Hamernick's Flooring Solutions,0,0,0
8806499,Greek Design|Build,0,0,0
8802095,Benchmark Construction Company,0,0,0
8805882,Oltmans Construction Co.,0,0,0
8796588,Hillwood,0,0,0
8798047,Northern Builders,0,0,0
8786307,Tri County Insulation And Acoustical Contractors,0,0,0
8785928,GLT Products,0,0,0
7665375,CQ Insulation,1,0,0
9007344,Armetco Systems,0,0,0
3910057,ACS,10,0,19040
8000707,Therm-All,1,0,0
8785633,Irex Contracting Group,0,0,0
8251900,Pyrotek,0,0,0
8794687,LG Group,0,0,0
3860370,Rolling Plains Construction,0,0,0
8785644,Knauf North America,0,0,0
8785654,Payless Insulation,0,0,0
3845989,AM Architectural Metal & Glass,9,0,250
8785620,Installed Building Products Inc,0,0,0
8786049,OJ Insulation,0,0,0
8785609,Homeco Insulation Inc.,0,0,0
8785635,STONY CREEK SERVICES INC.,0,0,0
3953393,DeVere Insulation,1,0,0
8785575,CR Insulation Inc.,0,0,0
8785585,EcoLogical Insulation LLC Auburn,0,0,0
8785617,Hometown Insulation Inc.,0,0,0
3843382,BGIS,9,0,22000
8785640,Unika Vaev,0,0,0
8785550,Banker Insulation,0,0,0
8785656,Spacecon Specialty Contractors,0,0,0
8785637,King Insulation,0,0,0
8748702,Sto global,0,0,0
3846981,Trespa,3,0,0
7608817,aquatherm GmbH,0,0,0
3843648,Starline Windows,8,0,0
3845449,Douglass Colony Group,1,0,0
3843041,Reynaers Aluminium UK,12,2,16500
3929423,Blachford Acoustics Group,0,0,0
8785711,Zook Interiors LLC,0,0,0
3846717,Camfil,4,0,0
8758219,TruTeam,2,0,0
3848362,AT-PAC,6,0,17000
8785602,Hanlon Acoustical Ceilings Co. LLC,0,0,0
3843755,Precision Glass Industries,0,0,0
8785692,Quality Insulation & Roofing,0,0,0
3846225,Ontario Panelization,2,0,0
3843431,Skyline Windows,60,6,15000
3843120,"Dynamic Glass, LLC",16,0,18000
3843228,"CT Windows, LLC dba Architectural Aluminum Techniques",17,0,12000
3845465,Palmetto State Glass,4,0,0
3845521,Rockwool (UK),0,0,0
3843957,Area Glass Inc- Commercial Glazing,0,0,0
4283598,"KCI Technologies, Inc.",1,0,0
3848222,Staley Steel LLC,1,0,0
3846771,Zentia - UK,4,0,21500
3847411,Limitless Automatics & Doors,1,2,0
4687456,Evolution Glass Inc.,4,0,0
3843915,Henry Company,5,0,0
8252818,Power Control Ltd,0,0,0
3844478,American Products Inc.,0,0,0
8252521,Riello UPS,0,0,0
3848079,Reflection Window + Wall,3,0,0
8252708,KOHLER Power Systems EMEA,0,0,0
8252777,HD Hyundai Electric Co. Ltd.,0,0,0
8304174,Goodman,0,0,0
8601476,Holcim,5,0,0
3843625,Larson Engineering,4,0,0
8252634,Toshiba Corporation,0,0,0
4975167,EAE Group,0,0,0
