ID,Total Jobs,Total CVs,Revenue
3717840,1,1,0.0
6356781,1,1,0.0
2963951,0,0,0.0
6271243,0,4,0.0
6267461,1,0,0.0
6284926,1,0,0.0
6267062,1,0,0.0
6200408,2,2,0.0
6383572,0,0,0.0
6360323,2,3,0.0
6267302,1,0,0.0
6383569,0,1,0.0
6133918,1,2,0.0
3055261,0,0,0.0
5193169,2,4,0.0
6262620,1,3,0.0
6373692,1,2,0.0
3008129,0,0,0.0
6383563,0,0,0.0
6383141,0,0,0.0
6142036,1,2,0.0
3052613,4,3,0.0
3042788,2,3,0.0
3006422,0,0,0.0
6227463,1,1,0.0
4965528,3,2,0.0
3496107,2,2,0.0
6261595,1,1,0.0
3054796,1,2,0.0
3496108,2,3,0.0
3496190,2,3,0.0
3496105,2,4,0.0
5881228,1,3,0.0
6382843,0,0,0.0
3026354,0,0,0.0
6382634,0,0,0.0
4725083,1,1,0.0
3005160,0,0,0.0
6290587,1,0,0.0
6207616,3,1,0.0
2998482,0,0,0.0
3003943,0,0,0.0
3027687,2,1,0.0
6382384,0,0,0.0
6382364,0,1,0.0
6271559,0,0,0.0
5218261,1,3,0.0
3051493,0,0,0.0
6382325,0,0,0.0
3054768,0,0,0.0
6271534,0,0,0.0
3054304,0,0,0.0
2968802,0,2,0.0
6381148,0,0,0.0
4863774,46,0,819233.31
3036711,0,0,0.0
6381301,0,0,0.0
6380891,0,0,0.0
6380724,0,1,0.0
6380734,0,0,0.0
6380973,0,0,0.0
3055117,3,2,80000.0
3009332,0,0,0.0
6380579,0,0,0.0
6380606,0,0,0.0
3055626,3,2,0.0
6306122,0,0,0.0
6380694,0,0,0.0
6257089,1,4,0.0
6380632,0,0,0.0
6146927,1,1,0.0
6380524,0,0,0.0
3043293,2,3,0.0
6227656,1,2,0.0
3025097,0,0,0.0
3050495,0,0,0.0
6163696,1,2,0.0
2993438,0,1,0.0
4922624,1,3,0.0
3038746,0,0,0.0
3013579,0,0,0.0
2960618,0,0,0.0
6379686,0,0,0.0
2992521,0,0,0.0
3050479,0,0,0.0
3030358,3,2,32000.0
3050404,0,0,0.0
3495843,0,0,0.0
6364753,0,1,0.0
2970642,0,0,0.0
3022348,0,0,0.0
3038010,1,1,60000.0
2997961,2,2,12896.0
2998771,1,2,96000.0
4912013,1,4,0.0
6380459,0,0,0.0
2983276,5,1,0.0
4922053,2,2,0.0
6380488,0,0,0.0
4915728,0,0,0.0
